period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,AK,Alaska,ALL,all sectors,360406,22.63,128.31182,566.93865,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AK,Alaska,COM,commercial,58008,21.72,52.13928,240.06506,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AK,Alaska,IND,industrial,1207,20.66,23.69913,114.72168,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AK,Alaska,RES,residential,301191,24.73,52.47341,212.15191,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AK,Alaska,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,ALL,all sectors,2815878,12.52,1048.21187,8374.80339,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,COM,commercial,394039,14.32,281.33326,1964.63674,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,IND,industrial,7222,7.65,204.51319,2672.37646,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,RES,residential,2414617,15.05,562.36542,3737.7902,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AL,Alabama,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,ALL,all sectors,1731295,9.29,439.97121,4736.23328,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,COM,commercial,208866,10.02,96.13437,959.19575,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,IND,industrial,35185,6.46,109.19613,1691.52371,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,RES,residential,1487242,11.25,234.63811,2085.4917,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AR,Arkansas,TRA,transportation,2,11.78,.00261,.02212,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,ALL,all sectors,3494368,12.33,803.67737,6518.46022,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,COM,commercial,348043,11.83,320.24935,2707.43332,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,IND,industrial,7128,7.74,87.52832,1130.51312,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,RES,residential,3139195,14.77,395.8122,2679.70961,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,AZ,Arizona,TRA,transportation,2,10.88,.0875,.80416,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,ALL,all sectors,16336519,25.6,5230.98492,20434.61187,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,COM,commercial,1797040,23.78,2233.52811,9392.28135,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,IND,industrial,148288,19.37,592.15211,3057.76183,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,RES,residential,14391178,30.22,2395.80716,7927.28562,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CA,California,TRA,transportation,13,16.58,9.49754,57.28308,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,ALL,all sectors,2921349,11.96,591.53747,4945.38254,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,COM,commercial,401242,11.01,195.45446,1774.96049,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,IND,industrial,15180,8.74,110.45544,1263.98337,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,RES,residential,2504926,15.01,284.88683,1897.87048,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CO,Colorado,TRA,transportation,1,8.65,.74074,8.5682,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,ALL,all sectors,1723783,27.13,702.44614,2588.95581,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,COM,commercial,156673,24.53,243.72887,993.52642,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,IND,industrial,3796,20.17,40.41267,200.39259,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,RES,residential,1563311,30.06,415.79343,1383.34418,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,CT,Connecticut,TRA,transportation,3,21.48,2.51118,11.69262,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,ALL,all sectors,349251,18.76,179.04843,954.48724,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,COM,commercial,27615,19.02,121.36605,637.95369,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,IND,industrial,1,21.38,3.89882,18.2367,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,RES,residential,321632,18.83,51.03882,271.03773,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DC,District of Columbia,TRA,transportation,3,10.07,2.74474,27.25912,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,ALL,all sectors,535409,13.77,152.43036,1107.02387,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,COM,commercial,60520,12.42,46.27709,372.65631,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,IND,industrial,1089,10.58,16.76011,158.43391,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,RES,residential,473800,15.52,89.39316,575.93365,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,DE,Delaware,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,ALL,all sectors,23525528,12.65,6472.65739,51185.23371,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,COM,commercial,2578175,12.12,1945.5318,16053.855,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,IND,industrial,53535,8.72,1342.66938,15390.29161,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,RES,residential,20893808,16.16,3176.90595,19658.68056,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ENC,East North Central,TRA,transportation,10,9.16,7.55026,82.40654,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,ALL,all sectors,10410534,11.41,3381.38886,29632.17908,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,COM,commercial,1514394,12.76,1001.91482,7851.47866,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,IND,industrial,23881,7.02,581.29328,8276.18309,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,RES,residential,8872259,13.32,1798.18076,13504.51733,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ESC,East South Central,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,ALL,all sectors,11858470,12.83,2575.04311,20071.33238,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,COM,commercial,1314383,11.32,848.04686,7490.39242,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,IND,industrial,25628,8.57,129.69758,1513.76109,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,RES,residential,10518457,14.43,1596.6998,11061.71095,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,FL,Florida,TRA,transportation,2,10.95,.59887,5.46793,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
