+-----------+------+--------+-------+-----------+
| series id | year | period | value | footnotes |
+-----------+------+--------+-------+-----------+
|   EIUIR   | 2018 |  M12   | 124.4 |           |
|   EIUIR   | 2018 |  M11   | 126.2 |           |
|   EIUIR   | 2018 |  M10   | 128.3 |           |
|   EIUIR   | 2018 |  M09   | 127.7 |           |
|   EIUIR   | 2018 |  M08   | 127.6 |           |
|   EIUIR   | 2018 |  M07   | 128.1 |           |
|   EIUIR   | 2018 |  M06   | 128.2 |           |
|   EIUIR   | 2018 |  M05   | 128.2 |           |
|   EIUIR   | 2018 |  M04   | 127.1 |           |
|   EIUIR   | 2018 |  M03   | 126.5 |           |
|   EIUIR   | 2018 |  M02   | 126.8 |           |
|   EIUIR   | 2018 |  M01   | 126.5 |           |
|   EIUIR   | 2017 |  M12   | 125.5 |           |
|   EIUIR   | 2017 |  M11   | 125.3 |           |
|   EIUIR   | 2017 |  M10   | 124.1 |           |
|   EIUIR   | 2017 |  M09   | 123.9 |           |
|   EIUIR   | 2017 |  M08   | 122.9 |           |
|   EIUIR   | 2017 |  M07   | 122.2 |           |
|   EIUIR   | 2017 |  M06   | 122.4 |           |
|   EIUIR   | 2017 |  M05   | 122.7 |           |
|   EIUIR   | 2017 |  M04   | 122.8 |           |
|   EIUIR   | 2017 |  M03   | 122.5 |           |
|   EIUIR   | 2017 |  M02   | 122.7 |           |
|   EIUIR   | 2017 |  M01   | 122.3 |           |
|   EIUIR   | 2016 |  M12   | 121.6 |           |
|   EIUIR   | 2016 |  M11   | 121.1 |           |
|   EIUIR   | 2016 |  M10   | 121.2 |           |
|   EIUIR   | 2016 |  M09   | 120.6 |           |
|   EIUIR   | 2016 |  M08   | 120.5 |           |
|   EIUIR   | 2016 |  M07   | 120.8 |           |
|   EIUIR   | 2016 |  M06   | 120.7 |           |
|   EIUIR   | 2016 |  M05   | 119.9 |           |
|   EIUIR   | 2016 |  M04   | 118.5 |           |
|   EIUIR   | 2016 |  M03   | 117.7 |           |
|   EIUIR   | 2016 |  M02   | 117.2 |           |
|   EIUIR   | 2016 |  M01   | 117.8 |           |
|   EIUIR   | 2015 |  M12   | 119.3 |           |
|   EIUIR   | 2015 |  M11   | 120.8 |           |
