series_id,year,month,value,date
EIUIR,1999,1,91.3,1999-01-01
EIUIR,1999,2,91.2,1999-02-01
EIUIR,1999,3,91.5,1999-03-01
EIUIR,1999,4,92.4,1999-04-01
EIUIR,1999,5,93.1,1999-05-01
EIUIR,1999,6,92.9,1999-06-01
EIUIR,1999,7,93.8,1999-07-01
EIUIR,1999,8,94.8,1999-08-01
EIUIR,1999,9,95.8,1999-09-01
EIUIR,1999,10,96.0,1999-10-01
EIUIR,1999,11,96.7,1999-11-01
EIUIR,1999,12,97.4,1999-12-01
EIUIR,2000,1,97.8,2000-01-01
EIUIR,2000,2,99.7,2000-02-01
EIUIR,2000,3,99.9,2000-03-01
EIUIR,2000,4,98.5,2000-04-01
EIUIR,2000,5,98.8,2000-05-01
EIUIR,2000,6,100.2,2000-06-01
EIUIR,2000,7,100.2,2000-07-01
EIUIR,2000,8,100.4,2000-08-01
EIUIR,2000,9,101.6,2000-09-01
EIUIR,2000,10,101.2,2000-10-01
EIUIR,2000,11,101.2,2000-11-01
EIUIR,2000,12,100.5,2000-12-01
EIUIR,2001,1,100.5,2001-01-01
EIUIR,2001,2,99.9,2001-02-01
EIUIR,2001,3,98.3,2001-03-01
EIUIR,2001,4,97.8,2001-04-01
EIUIR,2001,5,98.0,2001-05-01
EIUIR,2001,6,97.6,2001-06-01
EIUIR,2001,7,96.1,2001-07-01
EIUIR,2001,8,96.0,2001-08-01
EIUIR,2001,9,95.9,2001-09-01
EIUIR,2001,10,93.7,2001-10-01
EIUIR,2001,11,92.3,2001-11-01
EIUIR,2001,12,91.4,2001-12-01
EIUIR,2002,1,91.6,2002-01-01
EIUIR,2002,2,91.6,2002-02-01
EIUIR,2002,3,92.8,2002-03-01
EIUIR,2002,4,94.3,2002-04-01
EIUIR,2002,5,94.4,2002-05-01
EIUIR,2002,6,94.1,2002-06-01
EIUIR,2002,7,94.5,2002-07-01
EIUIR,2002,8,94.8,2002-08-01
EIUIR,2002,9,95.5,2002-09-01
EIUIR,2002,10,95.5,2002-10-01
EIUIR,2002,11,94.6,2002-11-01
EIUIR,2002,12,95.2,2002-12-01
EIUIR,2003,1,96.9,2003-01-01
EIUIR,2003,2,98.5,2003-02-01
EIUIR,2003,3,99.1,2003-03-01
EIUIR,2003,4,96.0,2003-04-01
EIUIR,2003,5,95.3,2003-05-01
EIUIR,2003,6,96.2,2003-06-01
EIUIR,2003,7,96.7,2003-07-01
EIUIR,2003,8,96.7,2003-08-01
EIUIR,2003,9,96.2,2003-09-01
EIUIR,2003,10,96.3,2003-10-01
EIUIR,2003,11,96.8,2003-11-01
EIUIR,2003,12,97.5,2003-12-01
EIUIR,2004,1,99.0,2004-01-01
EIUIR,2004,2,99.4,2004-02-01
EIUIR,2004,3,100.2,2004-03-01
EIUIR,2004,4,100.4,2004-04-01
EIUIR,2004,5,101.9,2004-05-01
EIUIR,2004,6,101.7,2004-06-01
EIUIR,2004,7,102.1,2004-07-01
EIUIR,2004,8,103.6,2004-08-01
EIUIR,2004,9,104.1,2004-09-01
EIUIR,2004,10,105.8,2004-10-01
EIUIR,2004,11,105.5,2004-11-01
EIUIR,2004,12,104.0,2004-12-01
EIUIR,2005,1,104.6,2005-01-01
EIUIR,2005,2,105.5,2005-02-01
EIUIR,2005,3,107.8,2005-03-01
EIUIR,2005,4,108.8,2005-04-01
EIUIR,2005,5,107.9,2005-05-01
EIUIR,2005,6,109.2,2005-06-01
EIUIR,2005,7,110.5,2005-07-01
EIUIR,2005,8,112.1,2005-08-01
EIUIR,2005,9,114.4,2005-09-01
EIUIR,2005,10,114.5,2005-10-01
EIUIR,2005,11,112.3,2005-11-01
EIUIR,2005,12,112.3,2005-12-01
EIUIR,2006,1,113.7,2006-01-01
EIUIR,2006,2,112.8,2006-02-01
EIUIR,2006,3,112.7,2006-03-01
EIUIR,2006,4,115.1,2006-04-01
EIUIR,2006,5,117.2,2006-05-01
EIUIR,2006,6,117.3,2006-06-01
EIUIR,2006,7,118.2,2006-07-01
EIUIR,2006,8,118.8,2006-08-01
EIUIR,2006,9,116.2,2006-09-01
EIUIR,2006,10,113.3,2006-10-01
EIUIR,2006,11,113.8,2006-11-01
EIUIR,2006,12,115.1,2006-12-01
EIUIR,2007,1,113.7,2007-01-01
EIUIR,2007,2,114.1,2007-02-01
EIUIR,2007,3,115.9,2007-03-01
EIUIR,2007,4,117.5,2007-04-01
EIUIR,2007,5,118.6,2007-05-01
EIUIR,2007,6,120.0,2007-06-01
EIUIR,2007,7,121.5,2007-07-01
EIUIR,2007,8,121.1,2007-08-01
EIUIR,2007,9,121.8,2007-09-01
EIUIR,2007,10,123.6,2007-10-01
EIUIR,2007,11,127.5,2007-11-01
EIUIR,2007,12,127.3,2007-12-01
EIUIR,2008,1,129.2,2008-01-01
EIUIR,2008,2,129.5,2008-02-01
EIUIR,2008,3,133.5,2008-03-01
EIUIR,2008,4,137.3,2008-04-01
EIUIR,2008,5,141.2,2008-05-01
EIUIR,2008,6,145.5,2008-06-01
EIUIR,2008,7,147.5,2008-07-01
EIUIR,2008,8,143.0,2008-08-01
EIUIR,2008,9,137.8,2008-09-01
EIUIR,2008,10,129.6,2008-10-01
EIUIR,2008,11,120.0,2008-11-01
EIUIR,2008,12,114.5,2008-12-01
EIUIR,2009,1,113.0,2009-01-01
EIUIR,2009,2,113.0,2009-02-01
EIUIR,2009,3,113.6,2009-03-01
EIUIR,2009,4,114.8,2009-04-01
EIUIR,2009,5,116.8,2009-05-01
EIUIR,2009,6,120.0,2009-06-01
EIUIR,2009,7,119.3,2009-07-01
EIUIR,2009,8,121.1,2009-08-01
EIUIR,2009,9,121.3,2009-09-01
EIUIR,2009,10,122.3,2009-10-01
EIUIR,2009,11,124.1,2009-11-01
EIUIR,2009,12,124.4,2009-12-01
EIUIR,2010,1,125.9,2010-01-01
EIUIR,2010,2,125.8,2010-02-01
EIUIR,2010,3,126.3,2010-03-01
EIUIR,2010,4,127.7,2010-04-01
EIUIR,2010,5,126.7,2010-05-01
EIUIR,2010,6,125.2,2010-06-01
EIUIR,2010,7,125.2,2010-07-01
EIUIR,2010,8,125.7,2010-08-01
EIUIR,2010,9,125.7,2010-09-01
EIUIR,2010,10,127.1,2010-10-01
EIUIR,2010,11,129.2,2010-11-01
EIUIR,2010,12,131.0,2010-12-01
EIUIR,2011,1,133.0,2011-01-01
EIUIR,2011,2,135.3,2011-02-01
EIUIR,2011,3,139.3,2011-03-01
EIUIR,2011,4,142.9,2011-04-01
EIUIR,2011,5,143.1,2011-05-01
EIUIR,2011,6,142.2,2011-06-01
EIUIR,2011,7,142.4,2011-07-01
EIUIR,2011,8,141.9,2011-08-01
EIUIR,2011,9,141.7,2011-09-01
EIUIR,2011,10,141.2,2011-10-01
EIUIR,2011,11,142.2,2011-11-01
EIUIR,2011,12,142.2,2011-12-01
EIUIR,2012,1,142.2,2012-01-01
EIUIR,2012,2,142.2,2012-02-01
EIUIR,2012,3,144.2,2012-03-01
EIUIR,2012,4,144.1,2012-04-01
EIUIR,2012,5,142.0,2012-05-01
EIUIR,2012,6,138.7,2012-06-01
EIUIR,2012,7,137.7,2012-07-01
EIUIR,2012,8,139.4,2012-08-01
EIUIR,2012,9,140.8,2012-09-01
EIUIR,2012,10,141.2,2012-10-01
EIUIR,2012,11,140.2,2012-11-01
EIUIR,2012,12,139.4,2012-12-01
EIUIR,2013,1,140.1,2013-01-01
EIUIR,2013,2,141.3,2013-02-01
EIUIR,2013,3,141.2,2013-03-01
EIUIR,2013,4,140.2,2013-04-01
EIUIR,2013,5,139.4,2013-05-01
EIUIR,2013,6,138.8,2013-06-01
EIUIR,2013,7,138.9,2013-07-01
EIUIR,2013,8,139.4,2013-08-01
EIUIR,2013,9,139.8,2013-09-01
EIUIR,2013,10,138.9,2013-10-01
EIUIR,2013,11,137.7,2013-11-01
EIUIR,2013,12,137.8,2013-12-01
EIUIR,2014,1,138.3,2014-01-01
EIUIR,2014,2,139.8,2014-02-01
EIUIR,2014,3,140.5,2014-03-01
EIUIR,2014,4,139.7,2014-04-01
EIUIR,2014,5,140.1,2014-05-01
EIUIR,2014,6,140.5,2014-06-01
EIUIR,2014,7,140.1,2014-07-01
EIUIR,2014,8,139.0,2014-08-01
EIUIR,2014,9,137.9,2014-09-01
EIUIR,2014,10,136.0,2014-10-01
EIUIR,2014,11,133.5,2014-11-01
EIUIR,2014,12,130.1,2014-12-01
EIUIR,2015,1,126.0,2015-01-01
EIUIR,2015,2,125.5,2015-02-01
EIUIR,2015,3,125.3,2015-03-01
EIUIR,2015,4,125.1,2015-04-01
EIUIR,2015,5,126.5,2015-05-01
EIUIR,2015,6,126.6,2015-06-01
EIUIR,2015,7,125.4,2015-07-01
EIUIR,2015,8,123.2,2015-08-01
EIUIR,2015,9,121.9,2015-09-01
EIUIR,2015,10,121.5,2015-10-01
EIUIR,2015,11,120.8,2015-11-01
EIUIR,2015,12,119.3,2015-12-01
EIUIR,2016,1,117.8,2016-01-01
EIUIR,2016,2,117.2,2016-02-01
EIUIR,2016,3,117.7,2016-03-01
EIUIR,2016,4,118.5,2016-04-01
EIUIR,2016,5,119.9,2016-05-01
EIUIR,2016,6,120.7,2016-06-01
EIUIR,2016,7,120.8,2016-07-01
EIUIR,2016,8,120.5,2016-08-01
EIUIR,2016,9,120.6,2016-09-01
EIUIR,2016,10,121.2,2016-10-01
EIUIR,2016,11,121.1,2016-11-01
EIUIR,2016,12,121.6,2016-12-01
EIUIR,2017,1,122.3,2017-01-01
EIUIR,2017,2,122.7,2017-02-01
EIUIR,2017,3,122.5,2017-03-01
EIUIR,2017,4,122.8,2017-04-01
EIUIR,2017,5,122.7,2017-05-01
EIUIR,2017,6,122.4,2017-06-01
EIUIR,2017,7,122.2,2017-07-01
EIUIR,2017,8,122.9,2017-08-01
EIUIR,2017,9,123.9,2017-09-01
EIUIR,2017,10,124.1,2017-10-01
EIUIR,2017,11,125.3,2017-11-01
EIUIR,2017,12,125.5,2017-12-01
EIUIR,2018,1,126.5,2018-01-01
EIUIR,2018,2,126.8,2018-02-01
EIUIR,2018,3,126.5,2018-03-01
EIUIR,2018,4,127.1,2018-04-01
EIUIR,2018,5,128.2,2018-05-01
EIUIR,2018,6,128.2,2018-06-01
EIUIR,2018,7,128.1,2018-07-01
EIUIR,2018,8,127.6,2018-08-01
EIUIR,2018,9,127.7,2018-09-01
EIUIR,2018,10,128.3,2018-10-01
EIUIR,2018,11,126.2,2018-11-01
EIUIR,2018,12,124.4,2018-12-01
